"Address","Packets","Bytes","Tx Packets","Tx Bytes","Rx Packets","Rx Bytes","Country","City","AS Number","AS Organization"
"10.215.173.1",2661,499435,1456,232764,1205,266671,"","","",""
"23.52.40.114",162,47113,78,36685,84,10428,"","","",""
"23.52.40.115",12,564,6,264,6,300,"","","",""
"23.52.40.120",71,19317,36,15489,35,3828,"","","",""
"23.52.40.121",12,564,6,264,6,300,"","","",""
"23.52.40.122",12,564,6,264,6,300,"","","",""
"23.52.40.123",28,1316,14,616,14,700,"","","",""
"23.52.40.128",28,1316,14,616,14,700,"","","",""
"23.52.40.129",77,22057,35,16764,42,5293,"","","",""
"23.52.40.130",28,1316,14,616,14,700,"","","",""
"23.52.40.131",12,564,6,264,6,300,"","","",""
"23.52.40.136",12,564,6,264,6,300,"","","",""
"23.52.40.137",28,1316,14,616,14,700,"","","",""
"23.52.40.138",62,22219,30,19065,32,3154,"","","",""
"23.52.40.139",22,1020,11,480,11,540,"","","",""
"23.52.40.144",12,564,6,264,6,300,"","","",""
"23.52.40.145",30,7819,15,5349,15,2470,"","","",""
"23.52.40.146",12,564,6,264,6,300,"","","",""
"23.52.40.147",32,1476,16,696,16,780,"","","",""
"92.123.106.98",12,564,6,264,6,300,"","","",""
"92.123.106.107",44,6872,18,4975,26,1897,"","","",""
"92.123.106.112",17,5614,8,4123,9,1491,"","","",""
"92.123.106.113",47,14279,23,11257,24,3022,"","","",""
"92.123.106.120",25,5928,11,4671,14,1257,"","","",""
"92.123.106.121",11,556,4,176,7,380,"","","",""
"92.123.106.128",9,965,3,128,6,837,"","","",""
"92.123.106.130",20,940,10,440,10,500,"","","",""
"92.123.106.136",8,376,4,176,4,200,"","","",""
"92.123.106.137",23,3194,11,718,12,2476,"","","",""
"92.123.106.144",8,376,4,176,4,200,"","","",""
"92.123.106.147",12,1085,6,248,6,837,"","","",""
"92.123.106.154",20,6770,9,4479,11,2291,"","","",""
"92.123.106.160",310,138881,105,20413,205,118468,"","","",""
"92.123.106.162",68,13712,31,10778,37,2934,"","","",""
"92.123.106.169",12,564,6,264,6,300,"","","",""
"92.123.106.170",20,940,10,440,10,500,"","","",""
"92.123.106.171",12,616,4,176,8,440,"","","",""
"92.123.106.178",10,496,4,176,6,320,"","","",""
"92.123.106.179",47,4738,19,2264,28,2474,"","","",""
"92.123.106.184",10,2393,5,1656,5,737,"","","",""
"92.123.106.185",20,940,10,440,10,500,"","","",""
"92.123.106.186",34,9019,18,6566,16,2453,"","","",""
"92.123.106.193",69,15457,29,11535,40,3922,"","","",""
"92.123.106.195",20,940,10,440,10,500,"","","",""
"92.123.106.201",12,616,4,176,8,440,"","","",""
"92.123.106.202",12,564,6,264,6,300,"","","",""
"92.123.106.208",12,616,4,176,8,440,"","","",""
"92.123.106.209",8,376,4,176,4,200,"","","",""
"92.123.106.210",8,376,4,176,4,200,"","","",""
"104.88.71.9",16,784,7,304,9,480,"","","",""
"104.88.71.10",78,19224,36,13265,42,5959,"","","",""
"104.88.71.11",16,752,8,352,8,400,"","","",""
"104.88.71.16",42,6931,21,2378,21,4553,"","","",""
"104.88.71.17",16,752,8,352,8,400,"","","",""
"104.88.71.18",12,564,6,264,6,300,"","","",""
"104.88.71.19",16,752,8,352,8,400,"","","",""
"104.88.71.24",19,5640,8,4543,11,1097,"","","",""
"104.88.71.25",24,1968,11,727,13,1241,"","","",""
"104.88.71.27",70,9811,32,6716,38,3095,"","","",""
"104.88.71.33",44,2156,20,856,24,1300,"","","",""
"104.88.71.35",4,200,2,80,2,120,"","","",""
"104.88.71.40",32,1592,14,592,18,1000,"","","",""
"104.88.71.43",52,10849,23,6827,29,4022,"","","",""
"104.88.71.49",19,964,7,304,12,660,"","","",""
"104.88.71.50",33,2783,16,1286,17,1497,"","","",""
"104.88.71.51",16,752,8,352,8,400,"","","",""
"104.88.71.58",16,752,8,352,8,400,"","","",""
"104.88.71.59",20,940,10,440,10,500,"","","",""
"104.88.71.64",16,752,8,352,8,400,"","","",""
"104.88.71.65",59,17200,29,11750,30,5450,"","","",""
"104.88.71.66",24,1160,11,480,13,680,"","","",""
"104.88.71.72",12,564,6,264,6,300,"","","",""
"104.88.71.74",6,308,2,88,4,220,"","","",""
"104.88.71.80",8,388,3,128,5,260,"","","",""
"104.88.71.81",26,5366,11,4089,15,1277,"","","",""
"104.88.71.83",8,376,4,176,4,200,"","","",""
"104.88.71.88",4,188,2,88,2,100,"","","",""
"104.88.71.89",4,188,2,88,2,100,"","","",""
"104.88.71.90",24,1160,11,480,13,680,"","","",""
"104.88.71.91",24,1128,12,528,12,600,"","","",""
"104.88.71.96",8,376,4,176,4,200,"","","",""
"104.88.71.97",42,3030,18,776,24,2254,"","","",""
"104.88.71.99",20,972,9,392,11,580,"","","",""
"104.88.71.104",66,13738,30,10804,36,2934,"","","",""
"104.88.71.105",16,752,8,352,8,400,"","","",""
"104.88.71.107",34,6376,14,4799,20,1577,"","","",""
"104.88.71.112",20,940,10,440,10,500,"","","",""
"104.88.71.113",22,2276,11,1078,11,1198,"","","",""
"104.88.71.115",28,1348,13,568,15,780,"","","",""
"104.88.71.122",17,1995,7,854,10,1141,"","","",""
"104.88.71.123",12,564,6,264,6,300,"","","",""
"104.88.71.128",8,376,4,176,4,200,"","","",""
"104.88.71.129",16,752,8,352,8,400,"","","",""
